Mag,Long,Lat,Depth,Year,Mo,Day,Hr,Min,Sec,Cat,Depthneg
1.02,-111.5333,42.4612,0.5,2005,9,18,1,13,53.95,0,-0.5
1,-111.3745,40.6253,0.5,2005,9,26,15,5,59.99,0,-0.5
1.26,-110.7828,40.8942,0.5,2006,9,28,8,51,0.47,0,-0.5
1.39,-112.7553,37.861,0.5,2006,10,29,9,22,32.7,0,-0.5
1.35,-112.808,38.1593,0.5,2007,5,9,22,50,54.78,0,-0.5
0.74,-111.4028,40.6165,0.5,2007,5,12,18,28,42.83,0,-0.5
3.03,-111.5297,41.8027,0.5,2007,7,2,8,5,1.97,0,-0.5
0.97,-112.3407,37.5383,0.5,2007,7,30,20,26,33.19,0,-0.5
2.86,-112.5177,37.5408,0.5,2007,9,29,4,0,59.97,0,-0.5
1.56,-111.8243,40.0065,0.5,2007,10,18,21,24,48.65,0,-0.5
3.55,-114.1105,37.3615,0.5,2007,12,13,7,54,45.26,0,-0.5
1.26,-111.891,40.3545,0.5,2008,2,18,10,18,50.62,0,-0.5
1.9,-112.3208,37.5358,0.5,2008,5,28,23,56,18.67,0,-0.5
1.78,-112.4907,37.8183,0.5,2008,6,1,1,55,51.84,0,-0.5
1.46,-113.5123,37.0355,0.5,2008,12,1,18,41,16.53,0,-0.5
1.69,-112.9668,37.4575,0.5,2009,2,3,1,52,43.19,0,-0.5
1.46,-112.8623,38.4903,0.5,2009,2,25,1,8,57.15,0,-0.5
1.59,-113.5105,37.0248,0.5,2009,5,27,18,6,26.09,0,-0.5
2.92,-112.3225,37.5445,0.5,2009,9,24,20,25,15.66,0,-0.5
1.67,-112.3022,37.6953,0.5,2009,10,2,0,49,56.05,0,-0.5
1.8,-111.1185,38.0303,0.5,2010,4,14,22,19,10.09,0,-0.5
2.76,-112.0485,39.4702,0.5,2010,8,21,18,19,15.94,0,-0.5
3.04,-112.2323,38.6038,0.5,2010,11,18,6,14,13.12,0,-0.5
2.74,-111.7068,41.6678,0.6,2000,1,11,15,38,30.83,0,-0.6
1.61,-112.5707,37.7537,0.6,2000,1,24,19,3,17.37,0,-0.6
1.28,-111.8118,38.6235,0.6,2000,2,16,10,59,45.91,0,-0.6
3.13,-112.4567,38.7238,0.6,2000,3,24,1,4,23.72,0,-0.6
0.95,-112.4407,38.721,0.6,2000,3,24,19,15,34.5,0,-0.6
1.8,-111.4372,40.3833,0.6,2000,6,22,21,43,15.73,0,-0.6
1.43,-112.0673,42.1042,0.6,2000,9,21,7,30,19.09,0,-0.6
2.82,-112.2648,38.5477,0.6,2000,9,24,11,36,33.46,0,-0.6
2.3,-111.4947,42.4305,0.6,2000,12,24,2,35,46.75,0,-0.6
3.05,-111.3863,42.3513,0.6,2001,2,13,1,40,45.71,0,-0.6
2.28,-112.6872,38.225,0.6,2001,3,3,1,21,37.91,0,-0.6
1.29,-112.6715,38.2282,0.6,2001,3,3,9,52,10.86,0,-0.6
1.89,-112.9222,37.0918,0.6,2001,3,10,13,25,10.37,0,-0.6
1.79,-112.4688,38.539,0.6,2001,11,18,7,45,32.72,0,-0.6
1.86,-110.9907,42.4573,0.6,2002,4,24,22,46,29.52,0,-0.6
2.83,-112.7472,38.2505,0.6,2002,11,13,23,24,32.7,0,-0.6
1.18,-113.092,37.4392,0.6,2002,12,14,1,24,56.59,0,-0.6
2.26,-111.0712,41.0498,0.6,2002,12,30,6,40,15.53,0,-0.6
1.81,-112.2648,38.65,0.6,2003,7,15,2,34,37.93,0,-0.6
1.83,-111.8957,39.5015,0.6,2003,8,17,1,22,21.56,0,-0.6
0.38,-111.4097,40.622,0.6,2004,1,15,18,19,55.37,0,-0.6
2.58,-113.675,37.8797,0.6,2004,1,17,19,41,16.13,0,-0.6
0.25,-111.3905,40.6242,0.6,2004,1,21,17,29,9.44,0,-0.6
3.21,-112.0355,39.2113,0.6,2004,2,23,9,20,19.91,0,-0.6
1.45,-112.0328,39.2067,0.6,2004,2,24,6,22,22.34,0,-0.6
2.8,-111.9367,39.659,0.6,2004,3,18,18,35,47.69,0,-0.6
1.36,-110.0752,38.0393,0.6,2004,5,5,20,51,21.78,0,-0.6
1.83,-113.5465,37.0778,0.6,2004,7,28,22,23,40.41,0,-0.6
0.65,-111.379,40.6147,0.6,2005,1,25,22,0,37.8,0,-0.6
3.09,-111.4097,42.444,0.6,2005,2,1,12,34,8.47,0,-0.6
1.72,-112.7293,38.0517,0.6,2005,8,19,14,32,17.25,0,-0.6
0.77,-111.3857,40.6243,0.6,2005,8,24,17,59,34.06,0,-0.6
2.83,-112.2425,38.3237,0.6,2006,1,9,12,19,9.17,0,-0.6
1.72,-112.8705,38.495,0.6,2006,2,12,8,25,42.05,0,-0.6
1.47,-111.961,39.1947,0.6,2006,3,15,9,3,31.71,0,-0.6
1.49,-112.234,40.5025,0.6,2006,9,18,15,59,18.22,0,-0.6
2.34,-110.6212,37.2747,0.6,2006,10,4,2,4,1.6,0,-0.6
1.41,-113.1652,37.4285,0.6,2006,10,22,8,57,21.47,0,-0.6
0.79,-111.377,40.6265,0.6,2007,1,5,17,44,22.96,0,-0.6
1.41,-111.9995,38.1657,0.6,2007,4,21,23,38,28.2,0,-0.6
0.84,-111.3913,40.6067,0.6,2007,5,10,21,36,52.05,0,-0.6
0.94,-111.4017,40.6135,0.6,2007,5,11,21,20,31.76,0,-0.6
1.58,-113.0357,36.8107,0.6,2007,5,26,9,7,8.87,0,-0.6
1.5,-112.2055,38.5137,0.6,2007,5,29,6,6,37.51,0,-0.6
0.9,-111.3847,40.6163,0.6,2007,5,31,19,39,33.35,0,-0.6
0.65,-111.3893,40.622,0.6,2007,7,25,19,31,23.77,0,-0.6
0.7,-111.4053,40.618,0.6,2007,8,1,14,42,2.4,0,-0.6
1.06,-111.3977,40.6177,0.6,2007,9,26,19,37,12.85,0,-0.6
1.41,-112.3855,37.777,0.6,2008,3,12,18,24,21.56,0,-0.6
